Data/Hora, TI, TE, TR, PID
08/09/2021 17:07:53, 52.06, 31.52, 51.00, -0.00
08/09/2021 17:07:55, 52.19, 31.51, 51.00, -146112776065.52
08/09/2021 17:07:57, 52.19, 31.51, 51.00, -146112776065.52
08/09/2021 17:07:59, 52.25, 31.51, 51.00, -8.75
08/09/2021 17:08:01, 52.38, 31.51, 51.00, -12.12
08/09/2021 17:08:03, 52.38, 31.51, 51.00, -14.88
08/09/2021 17:08:05, 52.38, 31.51, 51.00, -17.62
08/09/2021 17:08:07, 52.44, 31.51, 51.00, -20.81
08/09/2021 17:08:09, 52.50, 31.50, 51.00, -24.12
08/09/2021 17:08:11, 52.50, 31.49, 51.00, -27.12
08/09/2021 17:08:13, 52.50, 31.49, 51.00, -30.12
08/09/2021 17:08:15, 52.50, 31.49, 51.00, -33.12
08/09/2021 17:08:17, 52.50, 31.49, 51.00, -36.12
08/09/2021 17:08:19, 52.50, 31.49, 51.00, -39.12
08/09/2021 17:08:21, 52.44, 31.49, 45.00, -100.00
08/09/2021 17:08:23, 52.44, 31.49, 45.00, -92.62
08/09/2021 17:08:25, 52.44, 31.49, 45.00, -100.00
08/09/2021 17:08:27, 52.19, 31.48, 45.00, -100.00
08/09/2021 17:08:29, 51.94, 31.48, 45.00, -100.00
08/09/2021 17:08:31, 51.94, 31.49, 45.00, -100.00
08/09/2021 17:08:33, 51.62, 31.48, 45.00, -100.00
08/09/2021 17:08:35, 51.31, 31.48, 45.00, -100.00
08/09/2021 17:08:37, 51.06, 31.47, 45.00, -100.00
08/09/2021 17:08:39, 51.06, 31.48, 45.00, -100.00
08/09/2021 17:08:41, 50.81, 31.48, 45.00, -100.00
08/09/2021 17:08:43, 50.56, 31.48, 45.00, -100.00
08/09/2021 17:08:45, 50.38, 31.49, 45.00, -100.00
08/09/2021 17:08:47, 50.38, 31.48, 45.00, -100.00
08/09/2021 17:08:49, 50.12, 31.48, 45.00, -100.00
08/09/2021 17:08:53, 49.62, 31.49, 45.00, -100.00
08/09/2021 17:08:55, 49.62, 31.48, 45.00, -100.00
08/09/2021 17:08:57, 49.38, 31.48, 45.00, -100.00
08/09/2021 17:09:01, 48.88, 31.46, 45.00, -100.00
08/09/2021 17:09:03, 48.88, 31.46, 45.00, -100.00
08/09/2021 17:09:05, 48.62, 31.47, 45.00, -100.00
08/09/2021 17:09:07, 48.44, 31.46, 45.00, -100.00
08/09/2021 17:09:09, 48.19, 31.47, 45.00, -100.00
08/09/2021 17:09:11, 48.19, 31.47, 45.00, -100.00
08/09/2021 17:09:13, 48.06, 31.48, 45.00, -100.00
08/09/2021 17:09:15, 47.81, 31.48, 45.00, -100.00
08/09/2021 17:09:17, 47.56, 31.48, 45.00, -100.00
08/09/2021 17:09:19, 47.38, 31.46, 45.00, -100.00
08/09/2021 17:09:21, 47.38, 31.47, 45.00, -100.00
08/09/2021 17:09:23, 47.12, 31.48, 45.00, -100.00
08/09/2021 17:09:25, 46.94, 31.48, 45.00, -100.00
08/09/2021 17:09:27, 46.69, 31.46, 45.00, -100.00
08/09/2021 17:09:29, 46.69, 31.46, 45.00, -100.00
08/09/2021 17:09:31, 46.50, 31.46, 45.00, -100.00
08/09/2021 17:09:33, 46.38, 31.46, 45.00, -100.00
08/09/2021 17:09:35, 46.19, 31.46, 45.00, -100.00
08/09/2021 17:09:37, 46.19, 31.45, 45.00, -100.00
08/09/2021 17:09:39, 45.94, 31.46, 45.00, -100.00
08/09/2021 17:09:41, 45.81, 31.46, 45.00, -100.00
08/09/2021 17:09:43, 45.69, 31.46, 45.00, -100.00
08/09/2021 17:09:45, 45.69, 31.46, 45.00, -100.00
08/09/2021 17:09:47, 45.56, 31.46, 45.00, -100.00
08/09/2021 17:09:51, 45.19, 31.47, 45.00, -100.00
08/09/2021 17:09:53, 45.19, 31.47, 45.00, -100.00
08/09/2021 17:09:55, 45.00, 31.46, 45.00, -100.00
08/09/2021 17:09:57, 44.88, 31.46, 45.00, -99.12
08/09/2021 17:09:59, 44.69, 31.46, 45.00, -96.81
08/09/2021 17:10:01, 44.69, 31.46, 45.00, -97.12
08/09/2021 17:10:03, 44.56, 31.46, 45.00, -95.62
08/09/2021 17:10:05, 44.38, 31.46, 45.00, -93.44
08/09/2021 17:10:07, 44.19, 31.46, 45.00, -90.12
08/09/2021 17:10:09, 44.19, 31.46, 45.00, -89.44
08/09/2021 17:10:11, 44.06, 31.46, 45.00, -86.94
08/09/2021 17:10:13, 43.94, 31.45, 45.00, -84.19
08/09/2021 17:10:15, 43.75, 31.44, 45.00, -80.00
08/09/2021 17:10:17, 43.69, 31.45, 45.00, -77.75
08/09/2021 17:10:19, 43.69, 31.46, 45.00, -75.44
08/09/2021 17:10:21, 43.50, 31.45, 45.00, -71.50
08/09/2021 17:10:23, 43.38, 31.45, 45.00, -67.12
08/09/2021 17:10:25, 43.31, 31.45, 45.00, -63.81
08/09/2021 17:10:27, 43.31, 31.45, 45.00, -60.75
08/09/2021 17:10:29, 43.19, 31.45, 45.00, -56.50
08/09/2021 17:10:31, 43.06, 31.46, 45.00, -51.50
08/09/2021 17:10:33, 43.00, 31.46, 45.00, -47.56
08/09/2021 17:10:35, 43.00, 31.45, 45.00, -43.88
08/09/2021 17:10:37, 42.94, 31.45, 45.00, -39.44
08/09/2021 17:10:39, 42.88, 31.46, 45.00, -34.62
08/09/2021 17:10:41, 42.88, 31.45, 45.00, -30.69
08/09/2021 17:10:43, 42.88, 31.46, 45.00, -26.44
08/09/2021 17:10:45, 42.88, 31.45, 45.00, -22.19
08/09/2021 17:10:47, 42.81, 31.45, 45.00, -17.50
08/09/2021 17:10:49, 42.75, 31.45, 45.00, -12.44
08/09/2021 17:10:51, 42.75, 31.46, 45.00, -8.25
08/09/2021 17:10:53, 42.69, 31.46, 45.00, -3.31
08/09/2021 17:10:55, 42.75, 31.45, 45.00, 0.88
08/09/2021 17:10:57, 42.62, 31.46, 45.00, 6.75
08/09/2021 17:10:59, 42.62, 31.45, 45.00, 10.88
08/09/2021 17:11:01, 42.62, 31.45, 45.00, 15.62
08/09/2021 17:11:03, 42.56, 31.44, 45.00, 20.81
08/09/2021 17:11:05, 42.62, 31.44, 45.00, 25.00
08/09/2021 17:11:07, 42.56, 31.45, 45.00, 30.75
08/09/2021 17:11:09, 42.56, 31.45, 45.00, 35.31
08/09/2021 17:11:11, 42.62, 31.44, 45.00, 39.75
08/09/2021 17:11:13, 42.62, 31.45, 45.00, 44.50
08/09/2021 17:11:15, 42.62, 31.45, 45.00, 49.25
08/09/2021 17:11:17, 42.62, 31.45, 45.00, 54.00
08/09/2021 17:11:19, 42.62, 31.45, 45.00, 58.75
08/09/2021 17:11:21, 42.62, 31.45, 45.00, 63.50
08/09/2021 17:11:23, 42.62, 31.45, 45.00, 68.25
08/09/2021 17:11:25, 42.62, 31.46, 45.00, 73.00
08/09/2021 17:11:27, 42.69, 31.45, 45.00, 77.31
08/09/2021 17:11:31, 42.75, 31.46, 45.00, 86.00
08/09/2021 17:11:33, 42.75, 31.45, 45.00, 90.50
08/09/2021 17:11:35, 42.75, 31.45, 45.00, 95.00
08/09/2021 17:11:37, 42.81, 31.45, 45.00, 99.06
08/09/2021 17:11:39, 42.88, 31.45, 45.00, 100.00
08/09/2021 17:11:41, 42.88, 31.44, 45.00, 100.00
08/09/2021 17:11:43, 42.94, 31.45, 45.00, 100.00
08/09/2021 17:11:45, 42.94, 31.45, 45.00, 100.00
08/09/2021 17:11:47, 43.06, 31.45, 45.00, 100.00
08/09/2021 17:11:49, 43.06, 31.45, 45.00, 100.00
08/09/2021 17:11:51, 43.12, 31.46, 45.00, 100.00
08/09/2021 17:11:53, 43.25, 31.45, 45.00, 100.00
08/09/2021 17:11:55, 43.31, 31.44, 45.00, 100.00
08/09/2021 17:11:57, 43.38, 31.45, 45.00, 100.00
08/09/2021 17:11:59, 43.38, 31.45, 45.00, 100.00
08/09/2021 17:12:01, 43.44, 31.45, 45.00, 100.00
08/09/2021 17:12:03, 43.56, 31.44, 45.00, 100.00
08/09/2021 17:12:05, 43.69, 31.45, 45.00, 100.00
08/09/2021 17:12:07, 43.69, 31.44, 45.00, 100.00
08/09/2021 17:12:09, 43.81, 31.44, 45.00, 100.00
08/09/2021 17:12:11, 43.88, 31.45, 45.00, 100.00
08/09/2021 17:12:13, 44.00, 31.44, 45.00, 100.00
08/09/2021 17:12:15, 44.00, 31.44, 45.00, 100.00
08/09/2021 17:12:17, 44.06, 31.45, 45.00, 100.00
08/09/2021 17:12:19, 44.25, 31.44, 45.00, 100.00
08/09/2021 17:12:21, 44.38, 31.44, 45.00, 100.00
08/09/2021 17:12:23, 44.38, 31.44, 45.00, 100.00
08/09/2021 17:12:25, 44.50, 31.43, 45.00, 100.00
08/09/2021 17:12:29, 44.75, 31.43, 45.00, 100.00
08/09/2021 17:12:31, 44.75, 31.43, 45.00, 100.00
08/09/2021 17:12:33, 44.88, 31.44, 45.00, 100.00
08/09/2021 17:12:37, 45.12, 31.44, 45.00, 98.62
08/09/2021 17:12:39, 45.12, 31.43, 45.00, 99.00
08/09/2021 17:12:41, 45.25, 31.43, 45.00, 97.88
08/09/2021 17:12:43, 45.38, 31.45, 45.00, 96.50
08/09/2021 17:12:45, 45.50, 31.44, 45.00, 94.38
08/09/2021 17:12:47, 45.50, 31.44, 45.00, 94.00
08/09/2021 17:12:49, 45.62, 31.44, 45.00, 92.12
08/09/2021 17:12:51, 45.75, 31.44, 45.00, 90.00
08/09/2021 17:12:53, 45.88, 31.43, 45.00, 87.12
08/09/2021 17:12:55, 46.06, 31.43, 45.00, 83.94
08/09/2021 17:12:57, 46.06, 31.43, 45.00, 82.75
08/09/2021 17:12:59, 46.19, 31.43, 45.00, 79.75
08/09/2021 17:13:01, 46.31, 31.43, 45.00, 76.00
08/09/2021 17:13:03, 46.38, 31.44, 45.00, 73.31
08/09/2021 17:13:05, 46.38, 31.42, 45.00, 70.88
08/09/2021 17:13:07, 46.56, 31.43, 45.00, 66.81
08/09/2021 17:13:09, 46.62, 31.43, 45.00, 63.00
08/09/2021 17:13:11, 46.75, 31.43, 45.00, 58.69
08/09/2021 17:13:13, 46.75, 31.43, 45.00, 55.81
08/09/2021 17:13:15, 46.94, 31.43, 45.00, 51.00
08/09/2021 17:13:17, 47.00, 31.42, 45.00, 46.44
08/09/2021 17:13:19, 47.06, 31.42, 45.00, 42.06
08/09/2021 17:13:21, 47.06, 31.42, 45.00, 38.25
08/09/2021 17:13:23, 47.12, 31.42, 45.00, 33.69
08/09/2021 17:13:27, 47.31, 31.41, 45.00, 23.38
08/09/2021 17:13:29, 47.31, 31.40, 45.00, 19.06
08/09/2021 17:13:31, 47.44, 31.42, 45.00, 13.56
08/09/2021 17:13:33, 47.44, 31.41, 45.00, 8.69
08/09/2021 17:13:35, 47.50, 31.41, 45.00, 3.12
08/09/2021 17:13:37, 47.50, 31.41, 45.00, -1.56
08/09/2021 17:13:39, 47.56, 31.41, 45.00, -7.00
08/09/2021 17:13:41, 47.56, 31.40, 45.00, -12.12
08/09/2021 17:13:43, 47.62, 31.40, 43.00, -39.94
08/09/2021 17:13:45, 47.62, 31.41, 43.00, -38.88
08/09/2021 17:13:47, 47.62, 31.41, 43.00, -48.12
08/09/2021 17:13:49, 47.62, 31.39, 43.00, -57.38
08/09/2021 17:13:51, 47.69, 31.39, 43.00, -67.31
08/09/2021 17:13:53, 47.69, 31.40, 43.00, -76.38
08/09/2021 17:13:55, 47.69, 31.40, 43.00, -85.75
08/09/2021 17:13:57, 47.69, 31.39, 43.00, -95.12
08/09/2021 17:13:59, 47.62, 31.40, 43.00, -100.00
08/09/2021 17:14:01, 47.69, 31.41, 43.00, -100.00
08/09/2021 17:14:03, 47.69, 31.39, 43.00, -100.00
08/09/2021 17:14:05, 47.62, 31.40, 43.00, -100.00
08/09/2021 17:14:07, 47.56, 31.41, 43.00, -100.00
08/09/2021 17:14:09, 47.50, 31.41, 43.00, -100.00
08/09/2021 17:14:11, 47.50, 31.41, 43.00, -100.00
08/09/2021 17:14:13, 47.31, 31.41, 43.00, -100.00
08/09/2021 17:14:15, 47.06, 31.41, 43.00, -100.00
08/09/2021 17:14:17, 46.88, 31.40, 43.00, -100.00
08/09/2021 17:14:19, 46.88, 31.39, 43.00, -100.00
08/09/2021 17:14:21, 46.69, 31.38, 43.00, -100.00
08/09/2021 17:14:25, 46.25, 31.38, 43.00, -100.00
08/09/2021 17:14:27, 46.25, 31.37, 43.00, -100.00
08/09/2021 17:14:29, 46.06, 31.37, 43.00, -100.00
08/09/2021 17:14:33, 45.69, 31.38, 43.00, -100.00
08/09/2021 17:14:35, 45.69, 31.38, 43.00, -100.00
08/09/2021 17:14:37, 45.44, 31.38, 43.00, -100.00
08/09/2021 17:14:39, 45.25, 31.39, 43.00, -100.00
08/09/2021 17:14:41, 45.06, 31.39, 43.00, -100.00
08/09/2021 17:14:43, 45.06, 31.38, 43.00, -100.00
08/09/2021 17:14:45, 44.81, 31.39, 43.00, -100.00
08/09/2021 17:14:47, 44.69, 31.39, 43.00, -100.00
08/09/2021 17:14:49, 44.50, 31.38, 43.00, -100.00
08/09/2021 17:14:51, 44.38, 31.39, 43.00, -100.00
08/09/2021 17:14:53, 44.38, 31.39, 43.00, -100.00
08/09/2021 17:14:55, 44.12, 31.39, 43.00, -100.00
08/09/2021 17:14:57, 44.00, 31.39, 43.00, -100.00
08/09/2021 17:14:59, 43.81, 31.39, 43.00, -100.00
08/09/2021 17:15:01, 43.81, 31.40, 43.00, -100.00
08/09/2021 17:15:03, 43.69, 31.39, 43.00, -100.00
08/09/2021 17:15:05, 43.56, 31.39, 43.00, -100.00
08/09/2021 17:15:07, 43.31, 31.38, 43.00, -100.00
08/09/2021 17:15:09, 43.31, 31.39, 43.00, -100.00
08/09/2021 17:15:11, 43.19, 31.39, 43.00, -100.00
08/09/2021 17:15:13, 43.06, 31.39, 43.00, -99.69
08/09/2021 17:15:15, 42.88, 31.38, 43.00, -98.31
08/09/2021 17:15:17, 42.88, 31.39, 43.00, -99.00
08/09/2021 17:15:19, 42.69, 31.39, 43.00, -97.44
08/09/2021 17:15:23, 42.38, 31.39, 43.00, -93.00
08/09/2021 17:15:25, 42.38, 31.39, 43.00, -92.69
08/09/2021 17:15:27, 42.31, 31.39, 43.00, -91.00
08/09/2021 17:15:31, 42.00, 31.38, 43.00, -85.06
08/09/2021 17:15:33, 42.00, 31.39, 43.00, -84.00
08/09/2021 17:15:35, 41.88, 31.39, 43.00, -81.12
08/09/2021 17:15:37, 41.75, 31.39, 43.00, -78.00
08/09/2021 17:15:39, 41.62, 31.38, 43.00, -74.12
08/09/2021 17:15:41, 41.62, 31.39, 43.00, -72.00
08/09/2021 17:15:43, 41.50, 31.39, 43.00, -68.38
08/09/2021 17:15:45, 41.44, 31.39, 43.00, -64.94
08/09/2021 17:15:47, 41.38, 31.39, 43.00, -61.12
08/09/2021 17:15:49, 41.31, 31.39, 43.00, -57.50
08/09/2021 17:15:51, 41.31, 31.39, 43.00, -54.44
08/09/2021 17:15:53, 41.19, 31.39, 43.00, -50.19
08/09/2021 17:15:55, 41.12, 31.40, 43.00, -45.88
08/09/2021 17:15:57, 41.06, 31.39, 43.00, -41.75
08/09/2021 17:15:59, 41.06, 31.39, 43.00, -38.19
08/09/2021 17:16:01, 41.06, 31.39, 43.00, -34.31
08/09/2021 17:16:03, 41.00, 31.40, 43.00, -29.75
08/09/2021 17:16:05, 40.94, 31.40, 43.00, -25.38
08/09/2021 17:16:07, 40.94, 31.40, 43.00, -21.56
08/09/2021 17:16:09, 40.94, 31.39, 43.00, -17.44
08/09/2021 17:16:13, 40.88, 31.40, 43.00, -8.50
08/09/2021 17:16:15, 40.88, 31.40, 43.00, -4.56
08/09/2021 17:16:17, 40.88, 31.39, 43.00, -0.31
08/09/2021 17:16:21, 40.75, 31.39, 43.00, 9.44
08/09/2021 17:16:23, 40.75, 31.39, 43.00, 13.62
08/09/2021 17:16:25, 40.75, 31.40, 43.00, 18.12
08/09/2021 17:16:27, 40.75, 31.40, 43.00, 22.62
08/09/2021 17:16:29, 40.81, 31.40, 43.00, 26.44
08/09/2021 17:16:31, 40.81, 31.40, 43.00, 31.12
08/09/2021 17:16:33, 40.75, 31.40, 43.00, 35.94
08/09/2021 17:16:35, 40.75, 31.41, 43.00, 40.44
08/09/2021 17:16:37, 40.75, 31.41, 43.00, 44.94
08/09/2021 17:16:39, 40.75, 31.40, 43.00, 49.44
08/09/2021 17:16:41, 40.75, 31.39, 43.00, 53.94
08/09/2021 17:16:43, 40.75, 31.38, 43.00, 58.44
08/09/2021 17:16:45, 40.75, 31.39, 43.00, 62.94
